"Id","Promotor","Cliente","Fecha","Descripcion","Moneda","TC","Cotizado cliente","Status"
"13621","RAMIRO LEE","PUBLICO EN GENERAL","22/06/26","P#13621- OC# 437650 - SCI – ALMACÉN SISTEMA #1 - Pin 1801.","MXN","$ 17.3247","$ 203,987.04","Aceptada"
"13595","ALFREDO PALOMINO","ALPS ALPINE NORTH AMERICA","16/06/26","Hyundai - KBS - 3 NODOS DE RED","USD","$ 17.2008","$ 722.71","Aceptada"
"13592","ALFREDO PALOMINO","ALPS ALPINE NORTH AMERICA","16/06/26","PSS_Accessories H/V  No.1 - 3 NODOS DE RED","USD","$ 17.2008","$ 722.71","Aceptada"
"13574","RAMIRO LEE","PUBLICO EN GENERAL","15/06/26","#13574 - Contado - Instalacion Sistema FV Guadalupe Viera  JR - Pin 8798","MXN","$ 17.2067","$ 138,812.50","Aceptada"
"13560","ORLANDO MARTINEZ","ALCOM ELECTRONICOS DE MEXICO","10/06/26","BRAZO ARTICULADO  ELECTRICO 45 PIES","MXN","$ 17.4312","$ 14,407.50","Aceptada"
"13535","RAMIRO LEE","CORNING MONTERREY","04/06/26","P#13535 -PO  4502038181 - #RFQReq:224782 - Servicio en corte de cable MTA - Instalación de 4 nodos de red con APs  y sus bases, Pin 4501.","MXN","$ 17.3328","$ 30,108.25","Aceptada"
"13507","ORLANDO MARTINEZ","GOTAM MAINTENANCE","01/06/26","INSTALACION DE SISTEMA LIFT MASTER","MXN","$ 17.3505","$ 4,546.27","Aceptada"
"13490","ANA MARGARITA SAHAGUN","CORNING OPTICAL COMMUNICATIONS","28/05/26","Goods Plant:RAM #RFQReq:221137 #Vendor:257420#","MXN","$ 17.3793","$ 9,825.72","Aceptada"
"13478","HECTOR VELA","ALPS LOGISTICS MEXICO","27/05/26","SERVICIO DE MANTENIMIENTO PREVENTIVO / CORRECTIVO DE CCTV (CAMARAS INTERNAS Y EXTERNAS) _3","MXN","$ 17.3232","$ 84,236.65","Aceptada"
"13460","ALFREDO PALOMINO","ALCOM ELECTRONICOS DE MEXICO","22/05/26","Proyecto de Camaras en area de Reciclados Planta B (MD3)","MXN","$ 17.3305","$ 80,662.93","Aceptada"
"13446","ORLANDO MARTINEZ","GOTAM MAINTENANCE","21/05/26","","MXN","$ 17.2938","$ 4,017.60","Aceptada"
"13368","ORLANDO MARTINEZ","BIOSERVICIOS INTEGRALES DEL NORESTE","07/05/26","Sistema FV Alberto mora","MXN","$ 17.2530","$ 198,144.73","Aceptada"
"13339","RAMIRO LEE","BLACK & DECKER DE REYNOSA","04/05/26","Servicio de diagnóstico y reparación de fallas en sistema CCTV de planta.","MXN","$ 17.5118","$ 26,272.49","Aceptada"
"13286","RAMIRO LEE","CORNING OPTICAL COMMUNICATIONS","23/04/26","P#13286 - PO 4502032156 - RFQReq:222466 Servicio para expansión de oficinas con material Instalación de charola. Instalación de nodos de red Instalación de acceso (Ap’s) - Pin 2094","MXN","$ 17.3287","$ 283,012.66","Aceptada"
"13250","HECTOR VELA","NEWOPTIX RS","14/04/26","GARANTIA REVISION DE CHAPA MAGNETICA (NEW OPTICS)","MXN","$ 17.3470","$ 0.57","Aceptada"
"13234","ORLANDO MARTINEZ","PUBLICO EN GENERAL","10/04/26","Casa alberto mora genesis","MXN","$ 17.3593","$ 9,429.31","Aceptada"
"13217","RAMIRO LEE","PUBLICO EN GENERAL","07/04/26","#13217 Proyecto Fotovoltaico Jiménez - Pin 5255","MXN","$ 17.7932","$ 164,275.85","Aceptada"
"13182","ANA MARGARITA SAHAGUN","CORNING OPTICAL COMMUNICATIONS","26/03/26","Goods Plant:RCS #RFQReq:218428 #Vendor:253014#","MXN","$ 17.7548","$ 6,111.82","Aceptada"
"13117","ORLANDO MARTINEZ","PUBLICO EN GENERAL","12/03/26","SISTEMA DE CCTV Y RED INALAMBRICA CASA DE ALFREDO","MXN","$ 17.6543","$ 106,095.73","Aceptada"
"13065","CELESTE LANDA","BCS-AIS ENSAMBLES MEXICO","04/03/26","SISTEMA CCTV","MXN","$ 17.7228","$ 2,009,678.38","Aceptada"
"13024","ORLANDO MARTINEZ","967 SPECIAL SERVICES, S. DE R.L. DE C.V.","25/02/26","Cotizacion Lamparas titsman","MXN","$ 17.1910","$ 1,640.24","Aceptada"
"13002","CELESTE LANDA","E&M INDUSTRIAL SUPPLIES","24/02/26","ADECUACIONES","MXN","$ 17.2162","$ 72,374.81","Aceptada"
"12841","ORLANDO MARTINEZ","ALCOM ELECTRONICOS DE MEXICO","19/01/26","cotizacion brazo articulado y plataforma","MXN","$ 17.6867","$ 6,802.50","Aceptada"
